Bait	Preys	PreyGene	MIST	BFDR	AvgSpec	FoldChange	Abundance
SARS-CoV2 E	O00203	AP3B1	0.963550095	0	4.67	46.67	0.000489286
SARS-CoV2 E	O60885	BRD4	0.97848835	0	2.67	26.67	0.000251615
SARS-CoV2 E	P25440	BRD2	0.906592876	0	7	70	0.001006269
SARS-CoV2 E	Q6UX04	CWC27	0.89310916	0.03	2.67	26.67	0.000637225
SARS-CoV2 E	Q86VM9	ZC3H18	0.796415039	0	2.67	26.67	0.000366112
SARS-CoV2 E	Q8IWA5	SLC44A2	0.950342834	0	2.67	26.67	0.000557985
SARS-CoV2 M	O75439	PMPCB	0.985120198	0	9.67	96.67	0.001491594
SARS-CoV2 M	O95070	YIF1A	0.856000835	0	2.33	23.33	0.000606322
SARS-CoV2 M	P05026	ATP1B1	0.817625601	0	3.67	36.67	0.000926792
SARS-CoV2 M	P11310	ACADM	0.724348569	0	2.67	26.67	0.000477223
SARS-CoV2 M	P13804	ETFA	0.718398295	0	2.33	23.33	0.00053349
SARS-CoV2 M	P27105	STOM	0.752971772	0	3	30	0.000784909
SARS-CoV2 M	P38435	GGCX	0.789966998	0.01	2	20	0.0002012
SARS-CoV2 M	P38606	ATP6V1A	0.794938493	0.05	2.67	26.67	0.000321233
SARS-CoV2 M	P48556	PSMD8	0.881424779	0.05	2	20	0.000440792
SARS-CoV2 M	Q00765	REEP5	0.913088507	0	10.67	106.67	0.004295715
SARS-CoV2 M	Q10713	PMPCA	0.991059815	0	9.33	93.33	0.001344789
SARS-CoV2 M	Q4KMQ2	ANO6	0.993904419	0	9.33	93.33	0.000780761
SARS-CoV2 M	Q5JRX3	PITRM1	0.952308232	0	7	70	0.000508714
SARS-CoV2 M	Q6PML9	SLC30A9	0.886323242	0.05	2	20	0.000263731
SARS-CoV2 M	Q7L8L6	FASTKD5	0.758365887	0	7.33	73.33	0.000729111
SARS-CoV2 M	Q8NEW0	SLC30A7	0.766972437	0	4.67	46.67	0.000942453
SARS-CoV2 M	Q96CW5	TUBGCP3	0.753607002	0	7.67	76.67	0.000643828
SARS-CoV2 M	Q96D53	COQ8B	0.80074032	0	3.33	33.33	0.000468473
SARS-CoV2 M	Q96ER3	SAAL1	0.769472929	0	3.33	33.33	0.000539398
SARS-CoV2 M	Q96HR9	REEP6	0.955657163	0.05	2.33	23.33	0.000833576
SARS-CoV2 M	Q96HW7	INTS4	0.943304706	0.05	2.67	26.67	0.000207652
SARS-CoV2 M	Q9BQT8	SLC25A21	0.880779937	0.05	2	20	0.000515977
SARS-CoV2 M	Q9BSJ2	TUBGCP2	0.83958055	0	13	130	0.00109588
SARS-CoV2 M	Q9BW92	TARS2	0.758110505	0	2.67	26.67	0.00027982
SARS-CoV2 M	Q9NQC3	RTN4	0.873826097	0	10.67	106.67	0.000682599
SARS-CoV2 M	Q9UBU6	FAM8A1	0.80448832	0	2.33	23.33	0.000434431
SARS-CoV2 M	Q9UDR5	AASS	0.765109504	0	3	30	0.000249972
SARS-CoV2 M	Q9ULX6	AKAP8L	0.751981385	0	4.67	46.67	0.000552744
SARS-CoV2 M	Q9Y312	AAR2	0.801486724	0	4.33	43.33	0.000848134
SARS-CoV2 M	Q9Y6E2	BZW2	0.756364362	0	2.33	23.33	0.000421742
SARS-CoV2 N	O43818	RRP9	0.861168798	0	13	130	0.002711082
SARS-CoV2 N	P11940	PABPC1	0.736635929	0	7.33	73.33	0.001139771
SARS-CoV2 N	P19784	CSNK2A2	0.875048268	0	7	70	0.001985337
SARS-CoV2 N	P67870	CSNK2B	0.803607895	0	2.33	23.33	0.001088232
SARS-CoV2 N	Q13283	G3BP1	0.95331626	0	54.67	150.33	0.011866679
SARS-CoV2 N	Q13310	PABPC4	0.846200046	0	10	100	0.001552128
SARS-CoV2 N	Q6PKG0	LARP1	0.73787466	0	8.67	86.67	0.000772092
SARS-CoV2 N	Q8NCA5	FAM98A	0.921076719	0	3.67	36.67	0.000747738
SARS-CoV2 N	Q8TAD8	SNIP1	0.818230245	0	6.67	66.67	0.001651923
SARS-CoV2 N	Q92900	UPF1	0.753067271	0	5.67	56.67	0.000488022
SARS-CoV2 N	Q9HCE1	MOV10	0.736672944	0	3.33	33.33	0.000325498
SARS-CoV2 N	Q9UN86	G3BP2	0.958133672	0	35.33	194.33	0.007344003
SARS-CoV2 N	Q9NR30	DDX21	0.613544528	0	36.67	28.81	0.004666776
SARS-CoV2 N	Q9NW13	RBM28	0.628043125	0	10	100	0.001304484
SARS-CoV2 N	Q9Y3U8	RPL36	0.631167513	0	6.33	34.83	0.006022759
SARS-CoV2 S	Q7Z5G4	GOLGA7	0.978892719	0.05	2	20	0.001471353
SARS-CoV2 S	Q9C0B5	ZDHHC5	0.982389013	0	6	60	0.000847135
SARS-CoV2 Nsp1	P09884	POLA1	0.981264591	0	3.33	33.33	0.000277073
SARS-CoV2 Nsp1	P49642	PRIM1	0.981268688	0	3.33	33.33	0.000964477
SARS-CoV2 Nsp1	P49643	PRIM2	0.993975192	0	4.67	46.67	0.00113781
